
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-0427
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-0428
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-0429
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-0444
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-0455
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-0537
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-0566
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-0621
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-0622
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-0650
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-0669
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-0711
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-0741
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-0748
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-0750
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-0751
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-0752
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-0753
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-0754
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-0757
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-0783
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-0861
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-0862
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-0863
